txg,ant,azi,bw,ber,clh,cli,col,rxs,dis,file,frq,ked,key,lat,lon,nam,net,out,pm,pol,rad,res,rxg,rxh,ter,tlt,txh,txw,uid
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88855556,-77.02136111,2685185,ITM_1W_2m,2,1,v,20,30,0,2,15,0,24.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89188889,-77.01427778,2685186,ITM_1W_2m,2,1,v,20,30,0,2,15,0,24.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89236111,-77.04205556,2685312,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89069444,-77.02536111,2685378,ITM_1W_2m,2,1,v,20,30,0,2,15,0,30.5,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88702778,-77.03463889,2685410,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88847222,-77.03947222,2685445,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88811111,-77.05055556,2685447,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89188889,-77.01433333,2685448,ITM_1W_2m,2,1,v,20,30,0,2,15,0,25.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88877778,-77.03908333,2685619,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88877778,-77.03908333,2685620,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88827778,-77.04713889,2685621,ITM_1W_2m,2,1,v,20,30,0,2,15,0,25.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88819444,-77.04291667,2685629,ITM_1W_2m,2,1,v,20,30,0,2,15,0,21.6,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.94197222,-77.02822222,2685881,ITM_1W_2m,2,1,v,20,30,0,2,15,0,37.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88716667,-77.03661111,2686018,ITM_1W_2m,2,1,v,20,30,0,2,15,0,25.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88819444,-77.04291667,2686282,ITM_1W_2m,2,1,v,20,30,0,2,15,0,18.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89061111,-77.03108333,2694708,ITM_1W_2m,2,1,v,20,30,0,2,15,0,26.5,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88416667,-76.93227778,2694941,ITM_1W_2m,2,1,v,20,30,0,2,15,0,60.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95619444,-77.05027778,2695444,ITM_1W_2m,2,1,v,20,30,0,2,15,0,39.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89058333,-77.03091667,2695569,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88855556,-77.02136111,2696165,ITM_1W_2m,2,1,v,20,30,0,2,15,0,24.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.93288889,-76.9975,2696244,ITM_1W_2m,2,1,v,20,30,0,2,15,0,45.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95319444,-77.03858333,2700092,ITM_1W_2m,2,1,v,20,30,0,2,15,0,31.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.88852778,-77.0275,2700542,ITM_1W_2m,2,1,v,20,30,0,2,15,0,19.5,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89061111,-77.03108333,2700672,ITM_1W_2m,2,1,v,20,30,0,2,15,0,28,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.86722222,-77.00913889,2708283,ITM_1W_2m,2,1,v,20,30,0,2,15,0,34.1,1,YOUR UID HERE
